pk,jsondata,id,name,description,markup_description,dbpedia_url
1,,1,Phonology,,,http://dbpedia.org/resource/Phonology
2,,2,Morphology,,,http://dbpedia.org/resource/Morphology_(linguistics)
3,,3,Nominal Categories,,,http://dbpedia.org/resource/Semantics
4,,4,Nominal Syntax,,,
5,,5,Verbal Categories,,,http://dbpedia.org/resource/Semantics
6,,6,Word Order,,,http://dbpedia.org/resource/Word_order
7,,7,Simple Clauses,,,
8,,8,Complex Sentences,,,
9,,9,Lexicon,,,
10,,10,Sign Languages,,,http://dbpedia.org/resource/Sign_language
11,,11,Other,,,
