supplement_id,reference_id
1,Moseley-and-Asher-1994
1,Asher-and-Moseley-2007
1,Lewis-2009
1,Foley-2000
1,Schmidt-1926
1,Grimes-2000
1,Goddard-1996
1,Bradley-1997
1,Tindale-1974
5,Plank-1999
5,Andronov-1980
5,Bickel-and-Nichols-2002
5,Kroeger-1993
5,Wolfart-1973
5,Lewis-1967
5,Li-and-Thompson-1981
6,Abbott-1991
6,Heath-1999a
6,van-Enk-and-de-Vries-1997
6,Voorhoeve-1965b
6,Rubino-1998b
7,Comrie-1985
7,Verkuyl-1971
7,Tenny-1994
7,Agrell-1908
7,Bybee-et-al-1994
7,Dahl-1985
7,Dahl-1995
7,Dahl-2000
8,Lehmann-1984
8,Kibrik-1992
8,Austin-1981
9,Klima-and-Bellugi-1979
9,Boyes-Braem-1990
9,Sutton-Spence-and-Woll-1999
9,Zeshan-2004a
9,Zeshan-2004b
9,Taylor-1996
9,Webb-and-Supalla-1994
9,Kakumasu-1966
9,Branson-et-al-1996
9,Frishberg-1987
